Hz,30,40,50,60,70,100,200,300,400,600,750,1000,1500,2000,3000,4000,5000,7000,8500,10000,15000,20000,30000,40000,50000,60000,70000,80000,90000,100000,125000,150000,200000,250000,300000,400000,500000,700000,1000000
Amplification,25.24271845,33.39805825,37.86407767,45.82524272,53.39805825,70.67961165,135.9223301,200,254.368932,349.5145631,407.7669903,471.8446602,559.223301,598.0582524,629.1262136,644.6601942,644.6601942,647.5728155,647.5728155,647.5728155,647.5728155,644.6601942,631.0679612,613.592233,594.1747573,578.6407767,555.3398058,530.0970874,504.8543689,485.4368932,433.0097087,388.3495146,314.5631068,264.0776699,227.184466,178.6407767,143.6893204,102.9126214,70.87378641
func gen mVpp,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
output Vpp,0.26,0.344,0.39,0.472,0.55,0.728,1.4,2.06,2.62,3.6,4.2,4.86,5.76,6.16,6.48,6.64,6.64,6.67,6.67,6.67,6.67,6.64,6.5,6.32,6.12,5.96,5.72,5.46,5.2,5,4.46,4,3.24,2.72,2.34,1.84,1.48,1.06,0.73
